PLAN START DATE;BATCH NO;DFF1;DFF2;DFF3;ITEM CODE;ITEM DESC;STATUS;PLAN QTY BOX;ACTUAL QTY BOX
18/01/2022;F2201001295;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
18/01/2022;F2201001296;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
18/01/2022;F2201001297;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;82
18/01/2022;F2201001298;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
18/01/2022;F2201001299;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
18/01/2022;F2201001300;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;82
18/01/2022;F2201001301;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
18/01/2022;F2201001302;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
18/01/2022;F2201001303;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
18/01/2022;F2201001304;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;82
18/01/2022;F2201001305;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
18/01/2022;F2201001306;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
18/01/2022;F2201001307;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;77
18/01/2022;F2201001308;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
18/01/2022;F2201001309;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
18/01/2022;F2201001310;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
19/01/2022;F2201001311;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;82
19/01/2022;F2201001312;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;82
19/01/2022;F2201001313;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;83
19/01/2022;F2201001314;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
19/01/2022;F2201001315;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
19/01/2022;F2201001316;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
19/01/2022;F2201001317;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
19/01/2022;F2201001318;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;82
19/01/2022;F2201001319;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;79
19/01/2022;F2201001320;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
19/01/2022;F2201001321;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
19/01/2022;F2201001322;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;79
19/01/2022;F2201001323;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
19/01/2022;F2201001324;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;79
19/01/2022;F2201001325;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
19/01/2022;F2201001326;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
19/01/2022;F2201001327;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
19/01/2022;F2201001328;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
19/01/2022;F2201001329;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
19/01/2022;F2201001330;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
19/01/2022;F2201001331;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
19/01/2022;F2201001332;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;82
19/01/2022;F2201001333;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;78
19/01/2022;F2201001334;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;78
19/01/2022;F2201001335;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
19/01/2022;F2201001336;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;82
19/01/2022;F2201001337;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
19/01/2022;F2201001338;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
19/01/2022;F2201001339;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
19/01/2022;F2201001340;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
19/01/2022;F2201001341;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
19/01/2022;F2201001342;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;82
19/01/2022;F2201001343;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
19/01/2022;F2201001344;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
19/01/2022;F2201001345;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
19/01/2022;F2201001346;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
19/01/2022;F2201001347;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
19/01/2022;F2201001348;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;82
19/01/2022;F2201001349;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
19/01/2022;F2201001350;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
19/01/2022;F2201001351;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
19/01/2022;F2201001352;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
19/01/2022;F2201001353;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
19/01/2022;F2201001354;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
19/01/2022;F2201001355;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
19/01/2022;F2201001356;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
19/01/2022;F2201001357;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
19/01/2022;F2201001358;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
20/01/2022;F2201001359;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
20/01/2022;F2201001360;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
20/01/2022;F2201001361;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
20/01/2022;F2201001362;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
20/01/2022;F2201001363;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
20/01/2022;F2201001364;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
20/01/2022;F2201001365;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
20/01/2022;F2201001366;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
20/01/2022;F2201001367;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
20/01/2022;F2201001368;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
20/01/2022;F2201001369;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;82
20/01/2022;F2201001370;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
20/01/2022;F2201001371;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
20/01/2022;F2201001372;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
20/01/2022;F2201001373;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
20/01/2022;F2201001374;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
20/01/2022;F2201001375;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
20/01/2022;F2201001376;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
20/01/2022;F2201001377;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
20/01/2022;F2201001378;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
20/01/2022;F2201001379;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
20/01/2022;F2201001380;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
20/01/2022;F2201001381;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
20/01/2022;F2201001382;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
20/01/2022;F2201001383;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;82
20/01/2022;F2201001384;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
20/01/2022;F2201001385;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
20/01/2022;F2201001386;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
20/01/2022;F2201001387;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
20/01/2022;F2201001388;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
20/01/2022;F2201001389;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
20/01/2022;F2201001390;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;79
20/01/2022;F2201001391;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
20/01/2022;F2201001392;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
20/01/2022;F2201001393;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
20/01/2022;F2201001394;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;83
20/01/2022;F2201001395;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;82
20/01/2022;F2201001396;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
20/01/2022;F2201001397;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
20/01/2022;F2201001398;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
20/01/2022;F2201001399;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
20/01/2022;F2201001400;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
20/01/2022;F2201001401;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
20/01/2022;F2201001402;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
20/01/2022;F2201001403;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
20/01/2022;F2201001404;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;82
20/01/2022;F2201001405;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;83
20/01/2022;F2201001406;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
26/01/2022;F2201001407;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
26/01/2022;F2201001408;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
26/01/2022;F2201001409;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
26/01/2022;F2201001410;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
26/01/2022;F2201001411;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
26/01/2022;F2201001412;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
26/01/2022;F2201001413;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
26/01/2022;F2201001414;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
26/01/2022;F2201001415;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;83
26/01/2022;F2201001416;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
26/01/2022;F2201001417;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
26/01/2022;F2201001418;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
26/01/2022;F2201001419;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
26/01/2022;F2201001420;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;82
26/01/2022;F2201001421;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
26/01/2022;F2201001422;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;82
26/01/2022;F2201001423;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
26/01/2022;F2201001424;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
26/01/2022;F2201001425;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;82
26/01/2022;F2201001426;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80,83
26/01/2022;F2201001427;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
26/01/2022;F2201001428;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
21/01/2022;F2201001429;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;82
21/01/2022;F2201001430;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
21/01/2022;F2201001431;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
21/01/2022;F2201001432;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;83
21/01/2022;F2201001433;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;82
21/01/2022;F2201001434;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;82
21/01/2022;F2201001435;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;79
21/01/2022;F2201001436;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
21/01/2022;F2201001437;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
21/01/2022;F2201001438;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;83
21/01/2022;F2201001439;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
21/01/2022;F2201001440;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
21/01/2022;F2201001441;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
21/01/2022;F2201001442;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
21/01/2022;F2201001443;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
21/01/2022;F2201001444;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;82
21/01/2022;F2201001445;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
21/01/2022;F2201001446;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
21/01/2022;F2201001447;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;80
21/01/2022;F2201001448;-;;A;1101569326;NS JERUK PERAS PLS 18PX40SX14G;Closed;82,28;81
19/01/2022;F2201001449;-;;A;1101572453;NS JERUK JEJU PLS 4PX40SX14G;Closed;371,25;357
19/01/2022;F2201001450;-;;A;1101572453;NS JERUK JEJU PLS 4PX40SX14G;Closed;371,25;367
19/01/2022;F2201001451;-;;A;1101572453;NS JERUK JEJU PLS 4PX40SX14G;Closed;371,25;357
19/01/2022;F2201001452;-;;A;1101572453;NS JERUK JEJU PLS 4PX40SX14G;Closed;371,25;368
17/01/2022;F2201001453;-;;A;1101907331;NS FO PLS 14GX18PX40S;Closed;84,72;82
17/01/2022;F2201001454;-;;A;1101907331;NS FO PLS 14GX18PX40S;Closed;84,72;82
17/01/2022;F2201001455;-;;A;1101907331;NS FO PLS 14GX18PX40S;Closed;84,72;85,67
17/01/2022;F2201001456;-;;A;1101907331;NS FO PLS 14GX18PX40S;Closed;84,72;82
17/01/2022;F2201001457;-;;A;1101907331;NS FO PLS 14GX18PX40S;Closed;84,72;81
17/01/2022;F2201001458;-;;A;1101907331;NS FO PLS 14GX18PX40S;Closed;84,72;83
17/01/2022;F2201001459;-;;A;1101907331;NS FO PLS 14GX18PX40S;Closed;84,72;83
17/01/2022;F2201001460;-;;A;1101907331;NS FO PLS 14GX18PX40S;Closed;84,72;78
17/01/2022;F2201001461;-;;A;1101907331;NS FO PLS 14GX18PX40S;Closed;84,72;82
17/01/2022;F2201001462;-;;A;1101907331;NS FO PLS 14GX18PX40S;Closed;84,72;86
21/01/2022;F2201001463;-;;A;1101954453;NS SEMANGKA PLS 4PX40SX13G;Closed;373,75;365
21/01/2022;F2201001464;-;;A;1101954453;NS SEMANGKA PLS 4PX40SX13G;Closed;373,75;371
21/01/2022;F2201001465;-;;A;1101954453;NS SEMANGKA PLS 4PX40SX13G;Closed;373,75;358
21/01/2022;F2201001466;-;;A;1101954453;NS SEMANGKA PLS 4PX40SX13G;Closed;373,75;365
21/01/2022;F2201001467;-;;A;1101954453;NS SEMANGKA PLS 4PX40SX13G;Closed;373,75;365
21/01/2022;F2201001468;-;;A;1101954453;NS SEMANGKA PLS 4PX40SX13G;Closed;373,75;365
21/01/2022;F2201001469;-;;A;1101954453;NS SEMANGKA PLS 4PX40SX13G;Closed;373,75;370
21/01/2022;F2201001470;-;;A;1101954453;NS SEMANGKA PLS 4PX40SX13G;Closed;373,75;357
21/01/2022;F2201001471;-;;A;1101976453;NS MARKISA PLS 4PX40SX14G;Closed;363;355
21/01/2022;F2201001472;-;;A;1101976453;NS MARKISA PLS 4PX40SX14G;Closed;363;353
21/01/2022;F2201001473;-;;A;1101976453;NS MARKISA PLS 4PX40SX14G;Closed;363;353
21/01/2022;F2201001474;-;;A;1101976453;NS MARKISA PLS 4PX40SX14G;Closed;363;355
21/01/2022;F2201001475;-;;A;1101976453;NS MARKISA PLS 4PX40SX14G;Closed;363;355
21/01/2022;F2201001476;-;;A;1101976453;NS MARKISA PLS 4PX40SX14G;Closed;363;359
21/01/2022;F2201001477;-;;A;1101976453;NS MARKISA PLS 4PX40SX14G;Closed;363;355
21/01/2022;F2201001478;-;;A;1101976453;NS MARKISA PLS 4PX40SX14G;Closed;363;354
21/01/2022;F2201001479;-;;A;1101976453;NS MARKISA PLS 4PX40SX14G;Closed;363;358
21/01/2022;F2201001480;-;;A;1101976453;NS MARKISA PLS 4PX40SX14G;Closed;363;358,75
17/01/2022;F2201001481;-;;A;1101978453;NS MADU LEMON PLS 4PX40SX14G;Closed;366,25;357
17/01/2022;F2201001482;-;;A;1101978453;NS MADU LEMON PLS 4PX40SX14G;Closed;366,25;357
17/01/2022;F2201001483;-;;A;1101978453;NS MADU LEMON PLS 4PX40SX14G;Closed;366,25;355
17/01/2022;F2201001484;-;;A;1101978453;NS MADU LEMON PLS 4PX40SX14G;Closed;366,25;356
17/01/2022;F2201001485;-;;A;1101978453;NS MADU LEMON PLS 4PX40SX14G;Closed;366,25;365
17/01/2022;F2201001486;-;;A;1101978453;NS MADU LEMON PLS 4PX40SX14G;Closed;366,25;379
17/01/2022;F2201001487;-;;A;1101978453;NS MADU LEMON PLS 4PX40SX14G;Closed;366,25;366
17/01/2022;F2201001488;-;;A;1101978453;NS MADU LEMON PLS 4PX40SX14G;Closed;366,25;366,5
17/01/2022;F2201001489;-;;A;1101978453;NS MADU LEMON PLS 4PX40SX14G;Closed;366,25;366
21/01/2022;F2201001491;-;;A;1101979453;NS MADU KURMA PLS 4PX40SX14G;Closed;345,75;334
21/01/2022;F2201001492;-;;A;1101979453;NS MADU KURMA PLS 4PX40SX14G;Closed;345,75;335
18/01/2022;F2201001493;-;;A;1101983453;NS JERUK MAROKO PLS 4PX40SX14G;Closed;369,25;367
18/01/2022;F2201001494;-;;A;1101983453;NS JERUK MAROKO PLS 4PX40SX14G;Closed;369,25;354
18/01/2022;F2201001495;-;;A;1101983453;NS JERUK MAROKO PLS 4PX40SX14G;Closed;369,25;355
18/01/2022;F2201001496;-;;A;1101983453;NS JERUK MAROKO PLS 4PX40SX14G;Closed;369,25;363
18/01/2022;F2201001497;-;;A;1101983453;NS JERUK MAROKO PLS 4PX40SX14G;Closed;369,25;357
18/01/2022;F2201001498;-;;A;1101983453;NS JERUK MAROKO PLS 4PX40SX14G;Closed;369,25;367
18/01/2022;F2201001499;-;;A;1101983453;NS JERUK MAROKO PLS 4PX40SX14G;Closed;369,25;360
18/01/2022;F2201001500;-;;A;1101983453;NS JERUK MAROKO PLS 4PX40SX14G;Closed;369,25;357
18/01/2022;F2201001501;-;;A;1101983453;NS JERUK MAROKO PLS 4PX40SX14G;Closed;369,25;360
18/01/2022;F2201001502;-;;A;1101983453;NS JERUK MAROKO PLS 4PX40SX14G;Closed;369,25;364
18/01/2022;F2201001503;-;;A;1101983453;NS JERUK MAROKO PLS 4PX40SX14G;Closed;369,25;360
18/01/2022;F2201001504;-;;A;1101983453;NS JERUK MAROKO PLS 4PX40SX14G;Closed;369,25;363
18/01/2022;F2201001505;-;;A;1101983453;NS JERUK MAROKO PLS 4PX40SX14G;Closed;369,25;367
18/01/2022;F2201001506;-;;A;1101983453;NS JERUK MAROKO PLS 4PX40SX14G;Closed;369,25;368
18/01/2022;F2201001507;-;;A;1101983453;NS JERUK MAROKO PLS 4PX40SX14G;Closed;369,25;366
18/01/2022;F2201001508;-;;A;1101983453;NS JERUK MAROKO PLS 4PX40SX14G;Closed;369,25;360
18/01/2022;F2201001509;-;;A;1101983453;NS JERUK MAROKO PLS 4PX40SX14G;Closed;369,25;361
18/01/2022;F2201001510;-;;A;1101983453;NS JERUK MAROKO PLS 4PX40SX14G;Closed;369,25;372
18/01/2022;F2201001511;-;;A;1101983453;NS JERUK MAROKO PLS 4PX40SX14G;Closed;369,25;365
18/01/2022;F2201001512;-;;A;1101983453;NS JERUK MAROKO PLS 4PX40SX14G;Closed;369,25;372
18/01/2022;F2201001513;-;;A;1101983453;NS JERUK MAROKO PLS 4PX40SX14G;Closed;369,25;361
18/01/2022;F2201001514;-;;A;1101983453;NS JERUK MAROKO PLS 4PX40SX14G;Closed;369,25;373,75
20/01/2022;F2201001515;-;;A;1101987453;NS MANGGA GANDARIA PLS 4PX40SX14G;Closed;367;353
20/01/2022;F2201001516;-;;A;1101987453;NS MANGGA GANDARIA PLS 4PX40SX14G;Closed;367;373
20/01/2022;F2201001517;-;;A;1101987453;NS MANGGA GANDARIA PLS 4PX40SX14G;Closed;367;361
20/01/2022;F2201001518;-;;A;1101987453;NS MANGGA GANDARIA PLS 4PX40SX14G;Closed;367;355
20/01/2022;F2201001519;-;;A;1101987453;NS MANGGA GANDARIA PLS 4PX40SX14G;Closed;367;354
20/01/2022;F2201001520;-;;A;1101987453;NS MANGGA GANDARIA PLS 4PX40SX14G;Closed;367;355
20/01/2022;F2201001521;-;;A;1101987453;NS MANGGA GANDARIA PLS 4PX40SX14G;Closed;367;353
20/01/2022;F2201001522;-;;A;1101987453;NS MANGGA GANDARIA PLS 4PX40SX14G;Closed;367;372
24/01/2022;F2201001546;-;;A;1101436453;NS SIRSAK PLS 4PX40SX12G;Closed;423,75;407
24/01/2022;F2201001547;-;;A;1101436453;NS SIRSAK PLS 4PX40SX12G;Closed;423,75;407
24/01/2022;F2201001548;-;;A;1101436453;NS SIRSAK PLS 4PX40SX12G;Closed;423,75;415
24/01/2022;F2201001549;-;;A;1101436453;NS SIRSAK PLS 4PX40SX12G;Closed;423,75;410
24/01/2022;F2201001550;-;;A;1101436453;NS SIRSAK PLS 4PX40SX12G;Closed;423,75;409
24/01/2022;F2201001551;-;;A;1101436453;NS SIRSAK PLS 4PX40SX12G;Closed;423,75;416
26/01/2022;F2201001552;-;;A;1101504453;NS JERUK EXTRA MANIS PLS 4PX40SX11G;Closed;464,5;448
26/01/2022;F2201001553;-;;A;1101504453;NS JERUK EXTRA MANIS PLS 4PX40SX11G;Closed;464,5;448
27/01/2022;F2201001554;-;;A;1101504453;NS JERUK EXTRA MANIS PLS 4PX40SX11G;Closed;464,5;445
27/01/2022;F2201001555;-;;A;1101504453;NS JERUK EXTRA MANIS PLS 4PX40SX11G;Closed;464,5;446
27/01/2022;F2201001556;-;;A;1101504453;NS JERUK EXTRA MANIS PLS 4PX40SX11G;Closed;464,5;452
27/01/2022;F2201001557;-;;A;1101504453;NS JERUK EXTRA MANIS PLS 4PX40SX11G;Closed;464,5;452
27/01/2022;F2201001558;-;;A;1101504453;NS JERUK EXTRA MANIS PLS 4PX40SX11G;Closed;464,5;452,25
27/01/2022;F2201001559;-;;A;1101504453;NS JERUK EXTRA MANIS PLS 4PX40SX11G;Closed;464,5;453
28/01/2022;F2201001571;-;;A;1101525453;NS SWEET GUAVA PLS 4PX40SX11G;Closed;463;448
28/01/2022;F2201001572;-;;A;1101525453;NS SWEET GUAVA PLS 4PX40SX11G;Closed;463;448
28/01/2022;F2201001573;-;;A;1101525453;NS SWEET GUAVA PLS 4PX40SX11G;Closed;463;453
28/01/2022;F2201001574;-;;A;1101525453;NS SWEET GUAVA PLS 4PX40SX11G;Closed;463;453
27/01/2022;F2201001575;-;;A;1101525453;NS SWEET GUAVA PLS 4PX40SX11G;Closed;463;453
24/01/2022;F2201001580;-;;A;1101531453;NS LECI PLS 4PX40SX11G;Closed;478,75;460
24/01/2022;F2201001581;-;;A;1101531453;NS LECI PLS 4PX40SX11G;Closed;478,75;460
24/01/2022;F2201001582;-;;A;1101531453;NS LECI PLS 4PX40SX11G;Closed;478,75;473
24/01/2022;F2201001583;-;;A;1101531453;NS LECI PLS 4PX40SX11G;Closed;478,75;473
